交易日期,交易說明,支出,存入
2026-02-03,薪水入帳,,45000
2026-02-05,7-11便利商店,-125,
2026-02-06,鼎泰豐,-680,
2026-02-07,捷運,-80,
2026-02-08,遠傳電信,-399,
2026-02-10,蝦皮購物,-2599,
2026-02-11,IKEA,-4200,
2026-02-12,星巴克,-180,
2026-02-14,情人節餐廳,-2500,
2026-02-15,Uber,-450,
2026-02-16,屈臣氏,-890,
2026-02-18,大潤發,-3150,
2026-02-19,八方雲集,-140,
2026-02-20,健身工廠,-1200,
2026-02-21,公館蒸餃,-130,
2026-02-22,診所掛號,-350,
2026-02-23,路邊停車,-100,
2026-02-24,Netflix,-390,
2026-02-25,小茗茗茶,-65,
2026-02-26,全家便利商店,-198,
2026-02-27,台電費,-920,
2026-02-28,foodpanda,-720,
