交易日期,交易說明,支出,存入
2026-03-01,薪水入帳,,45000
2026-03-02,7-11便利商店,-85,
2026-03-03,麥當勞,-320,
2026-03-04,捷運,-60,
2026-03-05,全家便利商店,-156,
2026-03-06,NET服飾,-1890,
2026-03-07,ubike,-30,
2026-03-08,星巴克,-150,
2026-03-09,大潤發,-2350,
2026-03-10,北港羊肉,-450,
2026-03-11,電信費,-499,
2026-03-12,Netflix,-390,
2026-03-13,屈臣氏,-680,
2026-03-14,八方雲集,-160,
2026-03-15,國民年金,-1976,
2026-03-16,診所掛號費,-200,
2026-03-17,台灣大車隊,-320,
2026-03-18,Costco,-4580,
2026-03-19,迷客夏,-85,
2026-03-20,家樂福,-1280,
2026-03-21,悠活健身,-1200,
2026-03-22,公館蒸餃,-120,
2026-03-23,路邊停車,-60,
2026-03-24,自來水費,-380,
2026-03-25,台電費,-850,
2026-03-26,foodpanda,-560,
2026-03-27,屈臣氏,-420,
2026-03-28,小茗茗茶,-75,
2026-03-29,威秀影城,-590,
2026-03-30,Uber Eats,-890,
2026-03-31,711便利商店,-95,
